"","state","year","pop","assault","burglary","rape","theft","vehicleTheft","murder","robbery"
"1449","south dakota",1974,679892,14.8258841110059,59.8918651785872,1.0736999405788,174.071764339042,15.796626523036,0.205915057097304,2.04444235260894
"1450","south dakota",1975,681489,15.4367862137173,66.9269790121337,1.65813388037078,170.171492129734,16.8307925733211,0.366843778843092,3.11083524458942
"1451","south dakota",1976,686917,14.5723573590405,61.9579949251511,1.5285689537455,168.200816110243,14.9363023480275,0.174693594713772,2.31469012995748
"1452","south dakota",1977,689104,15.5709442986835,57.0450904362767,1.3495785832037,170.409691425387,14.7437832315587,0.203162367363997,1.7849265132694
"1453","south dakota",1978,689368,13.4906174931241,60.0259948242448,1.08795302363904,176.770607280872,16.0146685079667,0.188578524097434,1.5956644346706
"1454","south dakota",1979,689106,12.0300795523475,62.6318737610759,1.6398057773405,199.998258613334,17.3993551064713,0.203161777723601,2.03161777723601
"1455","south dakota",1980,690713,9.32369884452732,69.0011625667969,1.24509021836856,224.709828829051,16.7942401547387,0.0723889661842183,1.99793546668443
"1456","south dakota",1981,689582,7.32327699968967,63.0526898903974,1.1456215504465,211.533943751432,14.3130186112747,0.174018463358962,1.76918771081612
"1457","south dakota",1982,690586,6.77685328112646,56.256570506787,1.14395600258331,186.638593889827,11.8450127862424,0.275128658849151,1.70869377601052
"1458","south dakota",1983,693017,8.58564797111759,55.1213029406205,1.71712959422352,179.692561654332,10.3893555280751,0.216444906834897,1.60169231057824
"1459","south dakota",1984,697207,10.5133769454409,50.6162445299603,2.72515909909109,187.921234296271,11.0727517078859,0.186458254148338,1.5060089758135
"1460","south dakota",1985,698404,9.52170949765465,55.3690986878655,2.40548450467065,188.171889049891,10.3235376658782,0.186138681909038,1.73252157776874
"1461","south dakota",1986,696014,8.83602916033298,56.3063386656016,1.79594088624654,197.23741189114,10.0429014358907,0.402290758519225,1.65226561534682
"1462","south dakota",1987,696032,8.6633947864466,54.4084180037699,2.09760470782953,196.442117603788,9.74093145142752,0.186773021930026,1.24994253137787
"1463","south dakota",1988,698144,7.33373057707292,53.0406334509786,2.75014896640235,189.860544529495,9.78308200027501,0.315121235733602,1.24616125040106
"1464","south dakota",1989,696787,9.28547748451105,48.7092899264768,3.28651366917006,201.740273569972,11.1798871104082,0.129164292674806,1.20553339829819
"1465","south dakota",1990,697101,11.3900281307874,52.6609487004035,3.42848453810854,210.557724060072,11.0027097938462,0.200831730265772,1.23368062877546
"1466","south dakota",1991,703669,12.193232897854,58.9197477791405,3.96493237587559,219.023432892454,11.4826715401702,0.170534725844111,1.87588198428523
"1467","south dakota",1992,712801,12.4999824635487,53.9982407432088,5.16273125318287,215.642233947483,10.0869667691263,0.0561166440563355,1.68349932169006
"1468","south dakota",1993,722159,14.415108030226,54.3786063733887,4.40346239540046,206.5334642371,11.3409927730597,0.332336784558525,1.48166816449009
"1469","south dakota",1994,730790,16.3247991899178,53.8868895305081,4.14619795016352,217.791704867335,11.9322924506356,0.136838216177014,1.84731591838969
"1470","south dakota",1995,737925,13.714130839855,53.420063014534,4.05190229359352,216.498966697158,11.9388826777789,0.176169664938849,2.56123589795711
"1471","south dakota",1996,742213,11.4522381041561,54.9303232360522,4.04196638970215,209.266073216179,11.236666563372,0.121258991691064,1.85930453926299
"1472","south dakota",1997,744223,12.3350124895361,54.9297723934896,4.79694930148625,235.749231077244,11.5288025228997,0.134368327772724,2.31113523769085
"1473","south dakota",1998,746058,9.67753177366907,46.3502837580992,3.45817617397039,187.733393382284,10.2270869020907,0.134037836200403,1.997163759386
"1474","south dakota",1999,750412,10.2610299408858,43.3761720228355,4.47754033784108,187.137199298519,11.4736971157178,0.239868232384344,1.37257932975485
"1475","south dakota",2000,755844,10.7958785146141,38.314784532258,4.03522419970258,166.145395081525,10.5577341356153,0.0926117029439937,1.73316186938045
"1476","south dakota",2001,757972,9.3671006316856,40.7270980986105,4.63077791791781,165.85045357876,10.7523760772166,0.0923516963687313,1.35888924656847
"1477","south dakota",2002,760020,11.3286492460725,39.9200021052078,4.74987500328939,159.719481066288,10.7760322096787,0.144733033341228,1.53943317281124
"1478","south dakota",2003,763729,11.2474451016002,37.6835238677594,4.66133929705432,151.519714453687,11.4438498472626,0.130936497108267,1.36173956992598
"1479","south dakota",2004,770396,11.0852081267296,40.8621020877575,4.36139336133625,141.35587412188,10.9943457650351,0.220665735543798,1.45379778711208
"1480","south dakota",2005,775493,10.8189242198189,32.4567726594566,4.66799829269897,134.443508838893,10.8447142656349,0.232110412344148,1.85688329875318
"1481","tennessee",1969,3874872,13.8120691470583,73.5301708030614,1.3032688563648,100.35170194009,28.9635373762024,0.985839016101693,7.73186830429495
"1482","tennessee",1970,3942583,16.7808769022745,80.2925391805322,1.5395998004354,101.991511656191,28.7958427254417,0.877597250330557,8.16216170972177
"1483","tennessee",1971,4010338,19.5769034929225,89.6782266232921,1.79785344776425,108.896058137743,30.1994495227086,1.23680348140232,8.60775326169515
"1484","tennessee",1972,4088549,18.4050625295184,88.1706444022072,1.96157609949153,111.621506798622,29.6633353299667,1.11286424597088,9.96930695951057
"1485","tennessee",1973,4138628,18.6921849463155,100.668627380861,2.67721573429649,135.808292023347,32.9070406907797,1.31444527026831,13.0067259004675
"1486","tennessee",1974,4201789,18.7110775909975,132.669679510323,2.52749483612814,154.826908252651,34.071201576281,1.32086594543419,15.4458017763386
"1487","tennessee",1975,4260943,18.9347757057534,135.570928782666,2.56985366854239,209.305780434049,35.8441781549296,1.11947050218696,16.3977786137951
"1488","tennessee",1976,4329200,20.384828605747,128.538760048046,2.47620807539499,215.959068650097,31.7241060704056,1.06717176383627,14.3560011087499
"1489","tennessee",1977,4401991,19.915988015423,145.738598738616,2.89868834352455,173.491949438334,30.6679409385435,0.985917508690954,14.2344679941417
"1490","tennessee",1978,4461690,18.5714381770136,118.511147121382,2.99213974973609,172.463797350331,32.0439116119677,0.921175608345717,14.8800118340808
"1491","tennessee",1979,4533346,19.6697979814468,125.09523870448,3.33307892227948,187.168594675985,35.4947537646586,0.948526761469343,16.0521610307265
"1492","tennessee",1980,4600705,22.6639178125961,148.349003033231,3.69508586184074,214.914888044332,35.8749365586361,1.0628805802589,17.8407439729346
"1493","tennessee",1981,4627668,19.2753672043889,137.890185726374,3.74918857618999,217.228202196009,33.2781003304472,0.968090191431192,17.1058079360922
"1494","tennessee",1982,4646050,20.0385273511908,128.999903143531,3.55355624670419,237.440406366699,33.236835591524,0.972869426717319,17.5912872224793
"1495","tennessee",1983,4659799,18.5630324398112,121.245573038665,3.60959775303613,209.848107182306,31.8189690156163,0.879866277493943,17.369847926917
